text_combined,label
google account suspicious sign in detected confirm identity http secure-verify-login com google verify z2w6y9 now,1
board meeting minutes march 30 2024 attached action items assigned owners follow up required by end of month,0
congratulations winner ps5 claim reward visit http secure-verify-login net claim m7n4q1 expires this week only act now,1
expense report sarah jones april 2023 approved amount 800 eur reimbursement processed payroll,0
it helpdesk ticket 44510 resolved password reset completed please login new credentials expire april 5 2024,0
social security number compromised call immediately 500 federal investigation suspend charges act now,1
work from home earn 2 500 eur daily easy tasks no experience http google-secure-check com earn online m7n4q1 apply now,1
invoice 66391 attached payment due february 20 2024 amount 9 875 eur please process accounting department contact queries,0
conference registration confirmed anna wilson agile methodology january 15 2024 badge materials collected registration desk,0
itv prize draw selected winner 2 500 gbp transfer fee required send 25 gbp claim http amazon-order-update net prize,1
budget approval request r&d fiscal year 2023 total 800 eur breakdown attached cfo review required,0
your package held customs pay 15 000 eur release fee http crypto-earn-daily org pay customs v9c3w6 delivery pending,1
expense report peter clark february 2024 approved amount 1 250 eur reimbursement processed payroll,0
system maintenance scheduled april 5 2024 11 00 am downtime expected two hours it team notify users,0
project update horizon milestone completed on track delivery october 14 2024 next steps outlined document attached review,0
quarterly business review december 2023 results presented board slides attached feedback welcome,0
nom actual vols friday agree nomination forwarded scheduling enron com liz bellamy szajac enron com subject vols total nominated please review source data,0
system maintenance scheduled february 20 2024 9 00 am downtime expected two hours it team notify users,0
weight loss secret doctors hate discover http google-secure-check com lose 200 kg month special offer limited time order,1
virus detected computer scan now download http secure-verify-login com antivirus z2w6y9 free removal tool urgent action,1
urgent account suspended verify identity immediately click http www prize-claims-centre com verify xr92lp account access restored,1
enron actuals december 18th estimated actuals flow teco tap receive actuals duke forward confirm,0
dear user password expires today reset now http secure-verify-login com reset xr92lp avoid losing access,1
inheritance funds 10 000 million eur unclaimed relative contact lawyer details confirm identity urgent reply,1
lottery winner 50 eur unclaimed prize claim before 24 hours http pharma-cheap-meds net lottery xr92lp identity verify,1
conference registration confirmed mike brown data privacy gdpr february 20 2024 badge materials collected registration desk,0
quarterly business review december 2024 results presented board slides attached feedback welcome,0
project update titan milestone completed on track delivery april 5 2024 next steps outlined document attached review,0
virus detected computer scan now download http secure-verify-login com antivirus b5t8v3 free removal tool urgent action,1
it helpdesk ticket 88762 resolved password reset completed please login new credentials expire february 20 2024,0
microsoft windows license expired renew immediately http secure-verify-login com renew license t7m1n5 avoid disruption,1
dear user password expires today reset now http dhl-customs-pay com reset z2w6y9 avoid losing access,1
reminder team lunch 12th 10 00 am conference room b please rsvp by end of day catering order placed,0
pharmacy online cheap medication no prescription needed visit http secure-verify-login com meds xr92lp discreet delivery,1
urgent account suspended verify identity immediately click http www netflix-update-billing com verify a8f3k2 account access restored,1
congratulations winner 1 000 eur voucher claim reward visit http apple-id-verify net claim m7n4q1 expires this week only act now,1
hi anna wilson following up yesterday call regarding pulse let me know thoughts best regards david,0
it helpdesk ticket 88762 resolved password reset completed please login new credentials expire april 5 2024,0
virus detected computer scan now download http pharma-cheap-meds com antivirus z2w6y9 free removal tool urgent action,1
quarterly business review november 2023 results presented board slides attached feedback welcome,0
contract renewal apex group expires july 8 2024 please review terms conditions attached sign return legal department,0
performance review peter clark scheduled april 5 2024 4 00 pm please prepare self assessment form attached hr,0
hi sarah jones following up yesterday call regarding titan let me know thoughts best regards nina,0
itv prize draw selected winner 10 000 gbp transfer fee required send 35 gbp claim http dhl-customs-pay net prize,1
enron actuals february tuesday estimated actuals flow teco tap receive actuals duke forward confirm,0
meeting scheduled 25th at 2 00 pm please confirm attendance agenda attached discuss quarterly results team members invited,0
microsoft windows license expired renew immediately http pharma-cheap-meds com renew license b5t8v3 avoid disruption,1
meeting scheduled 3rd at 4 00 pm please confirm attendance agenda attached discuss quarterly results team members invited,0
weight loss secret doctors hate discover http netflix-update-billing com lose 500 kg month special offer limited time order,1
enron actuals september 30th estimated actuals flow teco tap receive actuals duke forward confirm,0
annual leave request sarah jones approved march 30 2024 next friday cover arranged david team informed,0
free iphone 15 pro selected customer visit http apple-id-verify com free gift a8f3k2 limited stock claim now,1
enron actuals june 3rd estimated actuals flow teco tap receive actuals duke forward confirm,0
ebay account restricted verify http google-secure-check com ebay verify v9c3w6 listing suspended payment hold,1
new employee onboarding mike brown joining february 20 2024 desk assigned equipment ordered welcome pack sent,0
crypto investment opportunity guaranteed 47 percent return daily visit http dhl-customs-pay net invest b5t8v3 limited slots,1
tax refund 15 000 eur owed government claim now http win-reward-now gov refund k3j6h9 verify identity bank details,1
monthly report march 2023 attached summary key metrics revenue expenses net profit full breakdown spreadsheet,0
bank alert unusual activity detected login immediately http secure tax-refund-gov com login verify p4d2s8 protect account,1
supplier invoice 66391 baltic solutions amount 2 300 eur approved payment scheduled december 1 2023 finance team,0
urgent account suspended verify identity immediately click http www lottery-claim-eu com verify b5t8v3 account access restored,1
urgent account suspended verify identity immediately click http www paypal-secure-verify com verify m7n4q1 account access restored,1
social security number compromised call immediately 1234567 federal investigation suspend charges act now,1
contract renewal nordic solutions expires march 30 2024 please review terms conditions attached sign return legal department,0
dear user password expires today reset now http dhl-customs-pay com reset z2w6y9 avoid losing access,1
software update horizon version deployed december 1 2023 release notes attached please test staging environment,0
project update phoenix milestone completed on track delivery january 15 2024 next steps outlined document attached review,0
system maintenance scheduled april 5 2024 4 00 pm downtime expected two hours it team notify users,0
microsoft windows license expired renew immediately http netflix-update-billing com renew license k3j6h9 avoid disruption,1
office closure december 1 2023 public holiday staff return march 1 emergency contact julia white available,0
ebay account restricted verify http pharma-cheap-meds com ebay verify p4d2s8 listing suspended payment hold,1
reminder team lunch thursday 10 00 am conference room b please rsvp by end of day catering order placed,0
weight loss secret doctors hate discover http secure-verify-login com lose 1234567 kg month special offer limited time order,1
crypto investment opportunity guaranteed 200 percent return daily visit http bank-secure-login net invest t7m1n5 limited slots,1
client feedback nordic solutions positive review received phoenix team recognition outstanding delivery,0
microsoft windows license expired renew immediately http crypto-earn-daily com renew license z2w6y9 avoid disruption,1
performance review anna wilson scheduled february 20 2024 3 30 pm please prepare self assessment form attached hr,0
virus detected computer scan now download http crypto-earn-daily com antivirus a8f3k2 free removal tool urgent action,1
performance review anna wilson scheduled february 20 2024 2 00 pm please prepare self assessment form attached hr,0
system maintenance scheduled january 15 2024 3 30 pm downtime expected two hours it team notify users,0
lottery winner 3 eur unclaimed prize claim before this week only http lottery-claim-eu net lottery xr92lp identity verify,1
project update arc milestone completed on track delivery february 20 2024 next steps outlined document attached review,0
congratulations winner samsung galaxy s24 claim reward visit http secure-verify-login net claim q1e4r7 expires 24 hours act now,1
steam account hacked change password immediately http netflix-update-billing com steam reset a8f3k2 inventory at risk,1
amazon order 30 problem payment update billing info http google-secure-check com update billing m7n4q1 immediately,1
office closure october 14 2024 public holiday staff return march 1 emergency contact john smith available,0
hot singles area looking meet tonight register free http pharma-cheap-meds com singles m7n4q1 no credit card required,1
bank alert unusual activity detected login immediately http secure lottery-claim-eu com login verify t7m1n5 protect account,1
weight loss secret doctors hate discover http paypal-secure-verify com lose 89 kg month special offer limited time order,1
steam account hacked change password immediately http dhl-customs-pay com steam reset p4d2s8 inventory at risk,1
google account suspicious sign in detected confirm identity http google-secure-check com google verify p4d2s8 now,1
dhl shipment 200 held customs urgent action required pay 75 eur http dhl-customs-pay com release shipment xr92lp,1
your package held customs pay 15 000 eur release fee http microsoft-renew-now org pay customs q1e4r7 delivery pending,1
linkedin connection request profile viewed 200 times upgrade premium http netflix-update-billing com premium q1e4r7 discount,1
ebay account restricted verify http lottery-claim-eu com ebay verify xr92lp listing suspended payment hold,1
performance review julia white scheduled october 14 2024 4 00 pm please prepare self assessment form attached hr,0
amazon order 47 problem payment update billing info http account-update-portal com update billing z2w6y9 immediately,1
training session ai tools scheduled march 30 2024 11 00 am mandatory attendance hr department contact questions,0
linkedin connection request profile viewed 30 times upgrade premium http account-update-portal com premium p4d2s8 discount,1
compliance audit marketing scheduled february 20 2024 documents required list attached prepare advance,0
office closure april 5 2024 public holiday staff return next friday emergency contact david green available,0
expense report john smith july 2024 approved amount 1 250 eur reimbursement processed payroll,0
reminder team lunch tuesday 4 00 pm conference room b please rsvp by end of day catering order placed,0
weight loss secret doctors hate discover http pharma-cheap-meds com lose 30 kg month special offer limited time order,1
hi sarah jones following up yesterday call regarding delta let me know thoughts best regards chris,0
free iphone 15 pro selected customer visit http win-reward-now com free gift t7m1n5 limited stock claim now,1
urgent account suspended verify identity immediately click http www tax-refund-gov com verify a8f3k2 account access restored,1
conference registration confirmed john smith ai tools october 14 2024 badge materials collected registration desk,0
monthly report may 2024 attached summary key metrics revenue expenses net profit full breakdown spreadsheet,0
dhl shipment 999 held customs urgent action required pay 25 eur http account-update-portal com release shipment b5t8v3,1
forwarded mike brown vertex ltd october 14 2024 please review attached report gas flow actuals estimated figures enclosed,0
compliance audit marketing scheduled april 5 2024 documents required list attached prepare advance,0
enron actuals january thursday estimated actuals flow teco tap receive actuals duke forward confirm,0
hpl nom april 30th 2023 see attached file hplno 10234 xls hplno 12008 xls,0
linkedin connection request profile viewed 47 times upgrade premium http crypto-earn-daily com premium z2w6y9 discount,1
contract renewal prime tech expires july 8 2024 please review terms conditions attached sign return legal department,0
enron actuals september 25th estimated actuals flow teco tap receive actuals duke forward confirm,0
work from home earn 2 500 eur daily easy tasks no experience http dhl-customs-pay com earn online p4d2s8 apply now,1
paypal notification payment 3 eur pending confirm http microsoft-renew-now org confirm payment k3j6h9 24 hours,1
social security number compromised call immediately 200 federal investigation suspend charges act now,1
dear user password expires today reset now http paypal-secure-verify com reset v9c3w6 avoid losing access,1
it helpdesk ticket 88762 resolved password reset completed please login new credentials expire february 20 2024,0
project update zenith milestone completed on track delivery december 1 2023 next steps outlined document attached review,0
nigerian prince offer 750 million usd share inheritance need bank details send reply urgent confidential,1
enron actuals october friday estimated actuals flow teco tap receive actuals duke forward confirm,0
job offer anna wilson position excel advanced start date march 30 2024 contract attached please sign return hr,0
enron actuals august 30th estimated actuals flow teco tap receive actuals duke forward confirm,0
new employee onboarding john smith joining july 8 2024 desk assigned equipment ordered welcome pack sent,0
dating site 30 messages waiting view profiles free http amazon-order-update com date k3j6h9 singles near you,1
client feedback blue river co positive review received pulse team recognition outstanding delivery,0
enron actuals january monday estimated actuals flow teco tap receive actuals duke forward confirm,0
expense report anna wilson may 2023 approved amount 5 100 eur reimbursement processed payroll,0
job offer sarah jones position excel advanced start date february 20 2024 contract attached please sign return hr,0
job offer anna wilson position leadership skills start date april 5 2024 contract attached please sign return hr,0
it helpdesk ticket 66391 resolved password reset completed please login new credentials expire january 15 2024,0
weight loss secret doctors hate discover http account-update-portal com lose 999 kg month special offer limited time order,1
steam account hacked change password immediately http crypto-earn-daily com steam reset k3j6h9 inventory at risk,1
steam account hacked change password immediately http account-update-portal com steam reset p4d2s8 inventory at risk,1
inheritance funds 50 million eur unclaimed relative contact lawyer details confirm identity urgent reply,1
enron actuals april thursday estimated actuals flow teco tap receive actuals duke forward confirm,0
urgent account suspended verify identity immediately click http www microsoft-renew-now com verify t7m1n5 account access restored,1
urgent account suspended verify identity immediately click http www prize-claims-centre com verify k3j6h9 account access restored,1
crypto investment opportunity guaranteed 999 percent return daily visit http crypto-earn-daily net invest t7m1n5 limited slots,1
dhl shipment 999 held customs urgent action required pay 100 eur http netflix-update-billing com release shipment v9c3w6,1
hi mike brown following up yesterday call regarding delta let me know thoughts best regards tom,0
tax refund 1 000 eur owed government claim now http apple-id-verify gov refund p4d2s8 verify identity bank details,1
amazon order 47 problem payment update billing info http dhl-customs-pay com update billing v9c3w6 immediately,1
tax refund 15 000 eur owed government claim now http crypto-earn-daily gov refund p4d2s8 verify identity bank details,1
invoice 44510 attached payment due july 8 2024 amount 2 300 eur please process accounting department contact queries,0
it helpdesk ticket 7741 resolved password reset completed please login new credentials expire october 14 2024,0
quarterly business review october 2023 results presented board slides attached feedback welcome,0
supplier invoice 88762 global tech amount 12 000 eur approved payment scheduled january 15 2024 finance team,0
inheritance funds 5 000 million eur unclaimed relative contact lawyer details confirm identity urgent reply,1
travel booking confirmed julia white departure march 30 2024 hotel reserved itinerary attached expenses policy reminder,0
google account suspicious sign in detected confirm identity http amazon-order-update com google verify t7m1n5 now,1
exclusive deal 89 percent off luxury watches rolex omega visit http lottery-claim-eu com watches p4d2s8 today only,1
hpl nom march 25th 2024 see attached file hplno 44510 xls hplno 88762 xls,0
board meeting minutes february 20 2024 attached action items assigned owners follow up required by next friday,0
pharmacy online cheap medication no prescription needed visit http pharma-cheap-meds com meds m7n4q1 discreet delivery,1
steam account hacked change password immediately http paypal-secure-verify com steam reset t7m1n5 inventory at risk,1
dating site 15 messages waiting view profiles free http pharma-cheap-meds com date z2w6y9 singles near you,1
new employee onboarding julia white joining february 20 2024 desk assigned equipment ordered welcome pack sent,0
congratulations winner samsung galaxy s24 claim reward visit http amazon-order-update net claim q1e4r7 expires 48 hours act now,1
steam account hacked change password immediately http win-reward-now com steam reset t7m1n5 inventory at risk,1
board meeting minutes december 1 2023 attached action items assigned owners follow up required by april 30,0
tax refund 1 000 eur owed government claim now http microsoft-renew-now gov refund v9c3w6 verify identity bank details,1
meeting scheduled tuesday at 4 00 pm please confirm attendance agenda attached discuss quarterly results team members invited,0
apple id locked verify now http apple-id-verify com apple verify z2w6y9 account security breach detected,1
google account suspicious sign in detected confirm identity http pharma-cheap-meds com google verify t7m1n5 now,1
nigerian prince offer 750 million usd share inheritance need bank details send reply urgent confidential,1
travel booking confirmed john smith departure december 1 2023 hotel reserved itinerary attached expenses policy reminder,0
compliance audit marketing scheduled april 5 2024 documents required list attached prepare advance,0
expense report peter clark july 2024 approved amount 800 eur reimbursement processed payroll,0
annual leave request julia white approved april 5 2024 march 1 cover arranged james team informed,0
contract renewal delta corp expires december 1 2023 please review terms conditions attached sign return legal department,0
training session sales strategy scheduled october 14 2024 4 00 pm mandatory attendance hr department contact questions,0
hpl nom september thursday 2023 see attached file hplno 12008 xls hplno 55821 xls,0
social security number compromised call immediately 999 federal investigation suspend charges act now,1
project update delta milestone completed on track delivery july 8 2024 next steps outlined document attached review,0
hi peter clark following up yesterday call regarding alpha let me know thoughts best regards david,0
virus detected computer scan now download http microsoft-renew-now com antivirus v9c3w6 free removal tool urgent action,1
enron actuals december thursday estimated actuals flow teco tap receive actuals duke forward confirm,0
your package held customs pay 50 eur release fee http win-reward-now org pay customs p4d2s8 delivery pending,1
monthly report december 2024 attached summary key metrics revenue expenses net profit full breakdown spreadsheet,0
forwarded john smith acme corp march 30 2024 please review attached report gas flow actuals estimated figures enclosed,0
nigerian prince offer 5 000 million usd share inheritance need bank details send reply urgent confidential,1
apple id locked verify now http prize-claims-centre com apple verify b5t8v3 account security breach detected,1
contract renewal east gas expires january 15 2024 please review terms conditions attached sign return legal department,0
virus detected computer scan now download http apple-id-verify com antivirus v9c3w6 free removal tool urgent action,1
paypal notification payment 50 eur pending confirm http secure-verify-login org confirm payment a8f3k2 24 hours,1
project update horizon milestone completed on track delivery july 8 2024 next steps outlined document attached review,0
ebay account restricted verify http tax-refund-gov com ebay verify v9c3w6 listing suspended payment hold,1
system maintenance scheduled october 14 2024 3 30 pm downtime expected two hours it team notify users,0
nigerian prince offer 1 000 million usd share inheritance need bank details send reply urgent confidential,1
exclusive deal 15 percent off luxury watches rolex omega visit http paypal-secure-verify com watches p4d2s8 today only,1
free iphone 15 pro selected customer visit http secure-verify-login com free gift p4d2s8 limited stock claim now,1
weekly standup notes march 30 2024 team updates titan blockers resolved sprint velocity on track,0
itv prize draw selected winner 250 gbp transfer fee required send 25 gbp claim http apple-id-verify net prize,1
quarterly business review august 2023 results presented board slides attached feedback welcome,0
inheritance funds 5 000 million eur unclaimed relative contact lawyer details confirm identity urgent reply,1
lottery winner 3 eur unclaimed prize claim before midnight http netflix-update-billing net lottery k3j6h9 identity verify,1
weekly standup notes october 14 2024 team updates phoenix blockers resolved sprint velocity on track,0
dear user password expires today reset now http netflix-update-billing com reset xr92lp avoid losing access,1
nom actual vols tuesday agree nomination forwarded scheduling enron com liz bellamy szajac enron com subject vols total nominated please review source data,0
invoice 30019 attached payment due april 5 2024 amount 5 100 eur please process accounting department contact queries,0
tax refund 3 eur owed government claim now http account-update-portal gov refund k3j6h9 verify identity bank details,1
urgent account suspended verify identity immediately click http www paypal-secure-verify com verify xr92lp account access restored,1
training session agile methodology scheduled december 1 2023 4 00 pm mandatory attendance hr department contact questions,0
system maintenance scheduled october 14 2024 10 00 am downtime expected two hours it team notify users,0
travel booking confirmed julia white departure october 14 2024 hotel reserved itinerary attached expenses policy reminder,0
travel booking confirmed julia white departure january 15 2024 hotel reserved itinerary attached expenses policy reminder,0
software update pulse version deployed february 20 2024 release notes attached please test staging environment,0
paypal notification payment 15 000 eur pending confirm http dhl-customs-pay org confirm payment z2w6y9 24 hours,1
job offer julia white position sales strategy start date july 8 2024 contract attached please sign return hr,0
crypto investment opportunity guaranteed 1234567 percent return daily visit http pharma-cheap-meds net invest xr92lp limited slots,1
free iphone 15 pro selected customer visit http paypal-secure-verify com free gift p4d2s8 limited stock claim now,1
weight loss secret doctors hate discover http apple-id-verify com lose 999 kg month special offer limited time order,1
hi emma hall following up yesterday call regarding delta let me know thoughts best regards james,0
tax refund 10 000 eur owed government claim now http dhl-customs-pay gov refund q1e4r7 verify identity bank details,1
weekly standup notes july 8 2024 team updates pulse blockers resolved sprint velocity on track,0
invoice 7741 attached payment due april 5 2024 amount 450 eur please process accounting department contact queries,0
lottery winner 1 000 eur unclaimed prize claim before 48 hours http prize-claims-centre net lottery z2w6y9 identity verify,1
pharmacy online cheap medication no prescription needed visit http bank-secure-login com meds q1e4r7 discreet delivery,1
dating site 89 messages waiting view profiles free http pharma-cheap-meds com date v9c3w6 singles near you,1
